count,id,ukftype
  268620,023,vtk
  347283,023,vtk
  323943,023,vtk
  306917,023,vtk
  418735,023,vtk
  379154,023,vtk
  412260,023,vtk
  348772,023,vtk
  363929,023,vtk
  359658,023,vtk
  328843,023,vtk
  370282,023,vtk
  308694,023,vtk
  326168,023,vtk
  408923,023,vtk
  369307,023,vtk
  333918,023,vtk
  396647,023,vtk
  338608,023,vtk
  475066,023,vtk
  387331,023,vtk
  400295,023,vtk
  379853,023,vtk
  295763,023,vtk
  433564,023,vtk
  399644,023,vtk
  364411,023,vtk
  441883,023,vtk
  334593,023,vtk
  307073,023,vtk
  410648,024,vtk
  393271,024,vtk
  389853,024,vtk
  373233,024,vtk
  406255,024,vtk
  320839,024,vtk
  351841,024,vtk
  426338,024,vtk
  380778,024,vtk
  317520,024,vtk
  443287,024,vtk
  401792,024,vtk
  379706,024,vtk
  285197,024,vtk
  284852,024,vtk
  376819,024,vtk
  427272,024,vtk
  371100,024,vtk
  380586,024,vtk
  365915,024,vtk
  342825,024,vtk
  346815,024,vtk
  337096,024,vtk
  303406,024,vtk
  438719,024,vtk
  333155,024,vtk
  341413,024,vtk
  364777,024,vtk
  385351,024,vtk
  326794,024,vtk
  351302,024,vtk
  364882,024,vtk
  327875,024,vtk
  362195,024,vtk
  365413,024,vtk
  399878,024,vtk
 699618,001,mat
1115078,001,mat
 907060,001,mat
1036788,001,mat
1432594,003,mat
1421982,003,mat
1540356,003,mat
1519484,003,mat
1634204,003,mat
1676192,003,mat
1748318,003,mat
1530194,003,mat
1852992,003,mat
1968382,003,mat
1951698,003,mat
 564078,006,mat
 516548,006,mat
 609020,006,mat
 629064,006,mat
 760388,006,mat
 534686,006,mat
 475886,006,mat
 505320,006,mat
 720254,006,mat
 624394,006,mat
 636610,006,mat
 478158,007,mat
 616710,007,mat
 562306,007,mat
 641742,007,mat
 473270,007,mat
 469790,007,mat
 566246,007,mat
 628264,007,mat
 579474,007,mat
 430438,007,mat
 628348,007,mat
 576716,007,mat
 552760,007,mat
 584180,007,mat
 615014,007,mat
 542636,007,mat
 472258,007,mat
 609504,007,mat
 495214,007,mat
 549202,007,mat
 621780,007,mat
 647938,007,mat
1622248,008,mat
 992598,008,mat
1713440,008,mat
2235236,008,mat
1287096,008,mat
1651098,008,mat
1345022,008,mat
1677968,008,mat
1608270,008,mat
1268556,008,mat
1527212,008,mat
1610182,008,mat
1562848,008,mat
1384706,008,mat
1550948,008,mat
1512838,008,mat
1585222,008,mat
1749870,008,mat
1485926,008,mat
 892866,015,mat
 929050,015,mat
 784576,015,mat
 942490,015,mat
1440614,015,mat
2068038,015,mat
1119492,015,mat
2002370,015,mat
1654222,015,mat
1770908,015,mat
1607096,015,mat
1498170,015,mat
2057916,015,mat
 942712,015,mat
1746088,015,mat
1775848,015,mat
1737968,015,mat
1733942,015,mat
1922048,015,mat
1565704,015,mat
 869612,015,mat
 882780,015,mat
 823092,015,mat
 784936,015,mat
 849374,015,mat
 873412,015,mat
 731484,015,mat
 925114,015,mat
 944330,015,mat
1179606,015,mat
1611336,015,mat
1485650,015,mat
1947382,015,mat
1579568,015,mat
1509226,015,mat
1710310,015,mat
1655506,015,mat
1319614,015,mat
1466254,015,mat
1539964,015,mat
1589466,015,mat
1426832,015,mat
1435848,015,mat
1893882,015,mat
1704756,015,mat
1269250,016,mat
1720862,016,mat
1483676,016,mat
1823466,016,mat
1950556,016,mat
1475322,016,mat
1794600,016,mat
1410894,016,mat
1593698,016,mat
1819592,016,mat
1645538,016,mat
1610718,016,mat
1722662,016,mat
1801374,016,mat
1575200,016,mat
1649480,016,mat
1990548,016,mat
1484848,016,mat
1587290,016,mat
1723242,016,mat
1738976,016,mat
1328394,016,mat
1774210,016,mat
1612258,016,mat
 652920,017,mat
 556738,017,mat
 633794,017,mat
 566840,017,mat
 484218,017,mat
 639560,017,mat
 764606,017,mat
 535402,017,mat
 428440,017,mat
 493500,017,mat
 563984,017,mat
 520484,017,mat
 528550,017,mat
 541102,017,mat
 443640,017,mat
 517648,017,mat
 563420,017,mat
 499568,017,mat
 408066,017,mat
 624584,017,mat
 588680,017,mat
 432000,017,mat
 567330,017,mat
 547234,017,mat
 531642,017,mat
 682144,017,mat
 462858,017,mat
 677180,017,mat
 533878,017,mat
 417320,017,mat
 512994,017,mat
 506888,017,mat
 837382,017,mat
 564628,017,mat
 578104,017,mat
 479490,017,mat
 635238,017,mat
 704014,017,mat
 462176,017,mat
 623326,017,mat
 739900,017,mat
 598350,017,mat
 621910,017,mat
 673054,017,mat
 537692,017,mat
 529282,017,mat
 489744,017,mat
 560632,017,mat
 561062,017,mat
 626138,017,mat
 591376,017,mat
 475564,017,mat
 644956,017,mat
 622822,017,mat
 556260,017,mat
 582368,017,mat
 578516,017,mat
 571852,017,mat
 524236,017,mat
 670876,017,mat
 567704,017,mat
 523564,017,mat
 858316,017,mat
 547292,017,mat
 634756,017,mat
 553456,017,mat
 487062,017,mat
 574908,017,mat
 547614,017,mat
 545802,017,mat
 576432,017,mat
 652140,017,mat
 475274,017,mat
 641750,017,mat
 578654,017,mat
 560196,017,mat
 517510,017,mat
 643068,017,mat
 540794,017,mat
 399568,017,mat
 475468,017,mat
 442214,017,mat
 604312,017,mat
 463238,017,mat
 664660,017,mat
 553324,017,mat
 591146,017,mat
 475714,017,mat
 550726,017,mat
 645834,017,mat
 564814,017,mat
 618170,017,mat
 530078,017,mat
 589044,017,mat
 649570,017,mat
 642054,017,mat
 333720,017,mat
 463058,017,mat
 570808,017,mat
 558016,017,mat
 584450,017,mat
 481206,017,mat
1438330,018,mat
1554504,018,mat
1159322,018,mat
1311514,018,mat
1640988,018,mat
1623352,018,mat
1425658,018,mat
2015304,019,mat
1414058,019,mat
1824968,019,mat
1719868,019,mat
1557702,019,mat
1325182,019,mat
1888188,019,mat
1706638,019,mat
1477836,019,mat
1516108,019,mat
1804876,019,mat
1496522,019,mat
1686904,019,mat
2034056,019,mat
1875070,019,mat
1326112,019,mat
1634992,019,mat
1401356,019,mat
1433614,019,mat
1231260,019,mat
1390490,019,mat
1846954,019,mat
1257168,019,mat
1412616,019,mat
1762034,019,mat
1725984,019,mat
1136718,019,mat
1943998,019,mat
1521384,019,mat
1954930,019,mat
1465968,019,mat
1639462,019,mat
1778658,019,mat
1841072,019,mat
2105624,019,mat
1706622,019,mat
1473262,019,mat
1250782,023,mat
1426778,023,mat
1612998,023,mat
1671576,023,mat
1565744,023,mat
1815866,023,mat
1556292,023,mat
1419330,023,mat
1458304,023,mat
2002578,023,mat
1680102,023,mat
1635554,023,mat
1793608,023,mat
1641966,023,mat
1600206,023,mat
1373340,023,mat
1702416,023,mat
1602106,023,mat
1330038,023,mat
1491200,023,mat
1477954,023,mat
1546430,023,mat
1645830,023,mat
1284950,023,mat
1577648,023,mat
1413536,023,mat
1829340,023,mat
1459392,023,mat
1560612,023,mat
1764106,023,mat
1076674,023,mat
1488474,023,mat
1284252,023,mat
1481360,023,mat
1685762,023,mat
1589160,023,mat
1309150,023,mat
1240600,023,mat
1574822,023,mat
1470732,023,mat
1369356,023,mat
1806494,023,mat
1582448,023,mat
1731388,023,mat
1539606,023,mat
1662626,023,mat
1592790,023,mat
1489324,023,mat
1718862,023,mat
1357980,023,mat
1477536,023,mat
1816030,023,mat
1640890,023,mat
1637106,023,mat
1804064,023,mat
1525702,023,mat
2042970,023,mat
1667378,023,mat
1789354,023,mat
1722670,023,mat
1344908,023,mat
1866372,023,mat
1761580,023,mat
1691436,023,mat
1863992,023,mat
1626076,023,mat
1433556,023,mat
 601006,024,mat
 663272,024,mat
 592910,024,mat
 587912,024,mat
 585926,024,mat
 487220,024,mat
 490738,024,mat
 617728,024,mat
 563716,024,mat
 520886,024,mat
 655438,024,mat
 591058,024,mat
 579790,024,mat
 428818,024,mat
 412394,024,mat
 533554,024,mat
 614846,024,mat
 556216,024,mat
 547400,024,mat
 529598,024,mat
 508464,024,mat
 481650,024,mat
 470314,024,mat
 404382,024,mat
 654856,024,mat
 494092,024,mat
 542384,024,mat
 539854,024,mat
 541446,024,mat
 431264,024,mat
 492956,024,mat
 506400,024,mat
 464938,024,mat
 558264,024,mat
 536422,024,mat
 602424,024,mat
