uid,count,id,ukftype
023,318817,023,vtk
023,312231,023,vtk
023,469675,023,vtk
023,354812,023,vtk
023,363218,023,vtk
023,389227,023,vtk
023,378250,023,vtk
023,365245,023,vtk
023,308385,023,vtk
023,380365,023,vtk
023,332681,023,vtk
023,303200,023,vtk
023,327999,023,vtk
023,324998,023,vtk
023,315545,023,vtk
023,382146,023,vtk
023,280955,023,vtk
023,346807,023,vtk
023,325813,023,vtk
023,407476,023,vtk
023,320880,023,vtk
023,329785,023,vtk
023,366736,023,vtk
023,240118,023,vtk
023,320435,023,vtk
023,287627,023,vtk
023,338858,023,vtk
023,343101,023,vtk
023,342559,023,vtk
023,276303,023,vtk
023,268620,023,vtk
023,347283,023,vtk
023,323943,023,vtk
023,306917,023,vtk
023,418735,023,vtk
023,379154,023,vtk
023,412260,023,vtk
023,348772,023,vtk
023,363929,023,vtk
023,359658,023,vtk
023,328843,023,vtk
023,370282,023,vtk
023,308694,023,vtk
023,326168,023,vtk
023,408923,023,vtk
023,369307,023,vtk
023,333918,023,vtk
023,396647,023,vtk
023,338608,023,vtk
023,475066,023,vtk
023,387331,023,vtk
023,400295,023,vtk
023,379853,023,vtk
023,295763,023,vtk
023,433564,023,vtk
023,399644,023,vtk
023,364411,023,vtk
023,441883,023,vtk
023,334593,023,vtk
023,307073,023,vtk
024,410648,024,vtk
024,393271,024,vtk
024,389853,024,vtk
024,373233,024,vtk
024,406255,024,vtk
024,320839,024,vtk
024,351841,024,vtk
024,426338,024,vtk
024,380778,024,vtk
024,317520,024,vtk
024,443287,024,vtk
024,401792,024,vtk
024,379706,024,vtk
024,285197,024,vtk
024,284852,024,vtk
024,376819,024,vtk
024,427272,024,vtk
024,371100,024,vtk
024,380586,024,vtk
024,365915,024,vtk
024,342825,024,vtk
024,346815,024,vtk
024,337096,024,vtk
024,303406,024,vtk
024,438719,024,vtk
024,333155,024,vtk
024,341413,024,vtk
024,364777,024,vtk
024,385351,024,vtk
024,326794,024,vtk
024,351302,024,vtk
024,364882,024,vtk
024,327875,024,vtk
024,362195,024,vtk
024,365413,024,vtk
024,399878,024,vtk
015,699618,001,mat
015,1115078,001,mat
015,907060,001,mat
015,1036788,001,mat
016,1432594,003,mat
016,1421982,003,mat
016,1540356,003,mat
016,1519484,003,mat
016,1634204,003,mat
016,1676192,003,mat
016,1748318,003,mat
016,1530194,003,mat
016,1852992,003,mat
016,1968382,003,mat
016,1951698,003,mat
006,564078,006,mat
006,516548,006,mat
006,609020,006,mat
006,629064,006,mat
006,760388,006,mat
006,534686,006,mat
006,475886,006,mat
006,505320,006,mat
006,720254,006,mat
006,624394,006,mat
006,636610,006,mat
024,478158,007,mat
024,616710,007,mat
024,562306,007,mat
024,641742,007,mat
024,473270,007,mat
